Beneficiary_ID,Gender,Age,District,State,Program_Name,Program_Date,Workshop_Hours,Program_Cost,Completion_Status,Pre_Assessment_Score,Post_Assessment_Score,Improvement_Percentage,Employment_Status,Outcome_Status
B1213,Male,21,Dehradun,Uttarakhand,Digital Literacy,2025-10-23,6,4399,Completed,67,76,13.43,Unemployed,Not Improved
B1214,Male,35,Dehradun,Uttarakhand,Employment Readiness,2024-06-05,4,1241,Completed,65,73,12.31,Employed,Not Improved
B1215,Male,25,Roorkee,Uttarakhand,Employment Readiness,2025-08-13,8,4535,Completed,30,63,110.0,Employed,Improved
B1216,Male,37,Udham Singh Nagar,Uttarakhand,Skill Development,2024-08-07,4,4136,Completed,35,72,105.71,Employed,Improved
B1217,Female,29,Nainital,Uttarakhand,Skill Development,2025-04-25,6,4038,Completed,39,79,102.56,Employed,Improved
B1218,Male,28,Roorkee,Uttarakhand,Digital Literacy,2025-09-20,6,4768,Incomplete,56,65,16.07,Unemployed,Not Improved
B1219,Male,39,Nainital,Uttarakhand,Skill Development,2025-04-11,6,3589,Completed,34,58,70.59,Employed,Improved
B1220,Female,27,Nainital,Uttarakhand,Skill Development,2025-10-27,8,4420,Completed,45,50,11.11,Unemployed,Not Improved
B1221,Female,31,Roorkee,Uttarakhand,Skill Development,2024-01-14,6,4301,Completed,38,56,47.37,Employed,Improved
B1222,Male,29,Roorkee,Uttarakhand,Skill Development,2024-06-05,6,1960,Completed,23,41,78.26,Unemployed,Improved
B1223,Male,27,Roorkee,Uttarakhand,Digital Literacy,2025-09-05,6,3829,Completed,58,80,37.93,Unemployed,Improved
B1224,Female,26,Haridwar,Uttarakhand,Digital Literacy,2024-09-02,6,4092,Completed,61,71,16.39,Unemployed,Not Improved
B1225,Female,27,Roorkee,Uttarakhand,Digital Literacy,2024-08-30,4,4226,Completed,31,49,58.06,Employed,Improved
B1226,Female,21,Nainital,Uttarakhand,Digital Literacy,2025-12-14,8,3602,Completed,61,97,59.02,Employed,Improved
B1227,Male,38,Haridwar,Uttarakhand,Skill Development,2024-01-22,6,2547,Completed,30,49,63.33,Unemployed,Improved
B1228,Female,19,Haridwar,Uttarakhand,Digital Literacy,2025-07-17,8,2930,Completed,40,64,60.0,Employed,Improved
B1229,Male,44,Haridwar,Uttarakhand,Digital Literacy,2025-08-15,4,1377,Completed,37,64,72.97,Unemployed,Improved
B1230,Female,25,Udham Singh Nagar,Uttarakhand,Digital Literacy,2024-01-05,4,4205,Completed,50,57,14.0,Employed,Not Improved
B1231,Female,35,Roorkee,Uttarakhand,Employment Readiness,2025-05-03,4,4201,Completed,34,48,41.18,Unemployed,Improved
B1232,Female,44,Dehradun,Uttarakhand,Digital Literacy,2024-08-29,6,4163,Completed,28,52,85.71,Unemployed,Improved
B1233,Female,36,Dehradun,Uttarakhand,Skill Development,2025-11-01,4,1784,Completed,25,59,136.0,Unemployed,Improved
B1234,Male,36,Haridwar,Uttarakhand,Employment Readiness,2025-10-17,6,3466,Completed,68,83,22.06,Unemployed,Improved
B1235,Female,39,Haridwar,Uttarakhand,Digital Literacy,2024-03-01,4,3974,Completed,49,80,63.27,Employed,Improved
B1236,Male,24,Nainital,Uttarakhand,Digital Literacy,2024-05-09,4,2370,Completed,24,55,129.17,Employed,Improved
B1237,Male,34,Roorkee,Uttarakhand,Skill Development,2024-08-05,8,1207,Completed,44,59,34.09,Employed,Improved
B1238,Male,28,Udham Singh Nagar,Uttarakhand,Skill Development,2025-08-14,6,1126,Completed,49,59,20.41,Employed,Improved
B1239,Female,23,Udham Singh Nagar,Uttarakhand,Digital Literacy,2025-09-03,6,3809,Completed,27,55,103.7,Employed,Improved
B1240,Female,23,Udham Singh Nagar,Uttarakhand,Skill Development,2024-06-19,6,4927,Completed,59,86,45.76,Unemployed,Improved
B1241,Female,36,Roorkee,Uttarakhand,Employment Readiness,2024-03-14,4,4979,Completed,52,85,63.46,Employed,Improved
B1242,Male,25,Nainital,Uttarakhand,Employment Readiness,2024-02-01,4,2416,Completed,30,54,80.0,Unemployed,Improved
B1243,Female,26,Haridwar,Uttarakhand,Digital Literacy,2025-01-21,6,2396,Completed,23,37,60.87,Unemployed,Improved
B1244,Female,38,Haridwar,Uttarakhand,Employment Readiness,2024-05-23,8,1049,Incomplete,30,50,66.67,Employed,Improved
B1245,Male,30,Udham Singh Nagar,Uttarakhand,Employment Readiness,2024-06-06,8,2271,Completed,24,40,66.67,Employed,Improved
B1246,Female,22,Dehradun,Uttarakhand,Employment Readiness,2024-07-04,8,2636,Completed,43,74,72.09,Unemployed,Improved
B1247,Male,32,Dehradun,Uttarakhand,Digital Literacy,2025-09-04,4,2292,Completed,60,94,56.67,Employed,Improved
B1248,Female,34,Udham Singh Nagar,Uttarakhand,Skill Development,2024-06-01,4,3288,Completed,48,58,20.83,Employed,Improved
B1249,Female,40,Dehradun,Uttarakhand,Skill Development,2024-09-12,8,2038,Completed,28,59,110.71,Unemployed,Improved
B1250,Female,39,Udham Singh Nagar,Uttarakhand,Skill Development,2025-01-29,6,4426,Incomplete,47,78,65.96,Unemployed,Improved
B1251,Male,29,Nainital,Uttarakhand,Digital Literacy,2025-06-14,6,2346,Incomplete,43,48,11.63,Employed,Not Improved
B1252,Male,35,Nainital,Uttarakhand,Employment Readiness,2024-05-21,6,1312,Completed,20,44,120.0,Employed,Improved
B1253,Male,34,Haridwar,Uttarakhand,Employment Readiness,2025-06-17,8,2488,Completed,39,62,58.97,Employed,Improved
B1254,Male,25,Dehradun,Uttarakhand,Skill Development,2025-10-20,4,4835,Completed,43,77,79.07,Unemployed,Improved
B1255,Male,31,Roorkee,Uttarakhand,Digital Literacy,2024-04-02,6,4693,Completed,28,51,82.14,Employed,Improved
B1256,Male,36,Udham Singh Nagar,Uttarakhand,Employment Readiness,2025-10-14,8,2015,Completed,28,54,92.86,Employed,Improved
B1257,Male,41,Nainital,Uttarakhand,Skill Development,2024-04-30,4,1008,Completed,50,69,38.0,Unemployed,Improved
B1258,Male,23,Haridwar,Uttarakhand,Digital Literacy,2025-09-03,4,3279,Completed,28,66,135.71,Unemployed,Improved
B1259,Male,32,Udham Singh Nagar,Uttarakhand,Skill Development,2024-05-06,6,1403,Completed,32,56,75.0,Employed,Improved
B1260,Female,18,Roorkee,Uttarakhand,Digital Literacy,2024-03-08,4,4720,Completed,35,42,20.0,Unemployed,Improved
B1261,Male,27,Udham Singh Nagar,Uttarakhand,Employment Readiness,2024-12-13,4,4503,Completed,24,33,37.5,Unemployed,Improved
B1262,Female,31,Roorkee,Uttarakhand,Digital Literacy,2025-11-09,4,1759,Completed,70,86,22.86,Employed,Improved
B1263,Female,30,Udham Singh Nagar,Uttarakhand,Digital Literacy,2025-04-30,8,3618,Incomplete,44,54,22.73,Unemployed,Improved
B1264,Female,43,Roorkee,Uttarakhand,Employment Readiness,2025-03-25,6,2990,Incomplete,54,87,61.11,Unemployed,Improved
B1265,Female,43,Nainital,Uttarakhand,Employment Readiness,2024-05-21,6,3604,Completed,39,67,71.79,Unemployed,Improved
B1266,Male,28,Haridwar,Uttarakhand,Digital Literacy,2025-05-24,6,2865,Completed,23,48,108.7,Employed,Improved
B1267,Male,22,Udham Singh Nagar,Uttarakhand,Digital Literacy,2025-04-25,6,3437,Incomplete,62,85,37.1,Unemployed,Improved
B1268,Female,27,Udham Singh Nagar,Uttarakhand,Skill Development,2025-02-17,6,3581,Completed,62,79,27.42,Unemployed,Improved
B1269,Female,19,Haridwar,Uttarakhand,Skill Development,2024-01-12,6,3960,Incomplete,21,34,61.9,Employed,Improved
B1270,Male,18,Haridwar,Uttarakhand,Skill Development,2024-01-24,6,1701,Incomplete,46,64,39.13,Employed,Improved
B1271,Male,26,Haridwar,Uttarakhand,Digital Literacy,2025-02-16,6,3419,Completed,67,100,49.25,Unemployed,Improved
B1272,Male,25,Roorkee,Uttarakhand,Digital Literacy,2024-09-29,8,2564,Completed,44,82,86.36,Unemployed,Improved
B1273,Male,31,Dehradun,Uttarakhand,Skill Development,2024-11-03,8,3923,Completed,46,57,23.91,Unemployed,Improved
B1274,Female,43,Roorkee,Uttarakhand,Skill Development,2025-10-09,6,3040,Completed,69,94,36.23,Unemployed,Improved
B1275,Female,34,Roorkee,Uttarakhand,Digital Literacy,2025-11-23,6,4346,Completed,65,75,15.38,Unemployed,Not Improved
B1276,Female,44,Udham Singh Nagar,Uttarakhand,Skill Development,2025-10-11,8,1508,Completed,35,61,74.29,Unemployed,Improved
B1277,Male,43,Roorkee,Uttarakhand,Skill Development,2025-10-13,8,2543,Completed,28,45,60.71,Unemployed,Improved
B1278,Male,38,Haridwar,Uttarakhand,Digital Literacy,2025-02-06,4,2840,Completed,37,48,29.73,Employed,Improved
B1279,Male,45,Roorkee,Uttarakhand,Digital Literacy,2025-09-16,6,1622,Incomplete,59,76,28.81,Employed,Improved
B1280,Female,23,Haridwar,Uttarakhand,Skill Development,2024-08-18,8,1561,Completed,68,88,29.41,Unemployed,Improved
B1281,Female,26,Nainital,Uttarakhand,Skill Development,2024-11-01,4,2669,Incomplete,58,77,32.76,Unemployed,Improved
B1282,Male,41,Roorkee,Uttarakhand,Employment Readiness,2024-05-11,8,3493,Completed,51,77,50.98,Employed,Improved
B1283,Male,19,Nainital,Uttarakhand,Employment Readiness,2025-05-25,8,1269,Completed,64,90,40.62,Employed,Improved
B1284,Male,43,Roorkee,Uttarakhand,Skill Development,2025-06-01,6,1444,Completed,22,31,40.91,Unemployed,Improved
B1285,Male,43,Nainital,Uttarakhand,Skill Development,2024-04-22,8,1091,Incomplete,27,55,103.7,Employed,Improved
B1286,Male,43,Dehradun,Uttarakhand,Skill Development,2024-12-22,8,4695,Completed,42,75,78.57,Employed,Improved
B1287,Male,18,Nainital,Uttarakhand,Digital Literacy,2025-03-22,8,3163,Completed,63,75,19.05,Unemployed,Not Improved
B1288,Female,30,Dehradun,Uttarakhand,Skill Development,2024-11-29,6,1530,Completed,55,88,60.0,Unemployed,Improved
B1289,Female,24,Udham Singh Nagar,Uttarakhand,Digital Literacy,2024-09-06,4,3793,Completed,60,66,10.0,Employed,Not Improved
B1290,Female,36,Dehradun,Uttarakhand,Employment Readiness,2025-11-26,6,2538,Completed,63,88,39.68,Employed,Improved
B1291,Male,44,Haridwar,Uttarakhand,Employment Readiness,2024-09-16,6,3650,Completed,28,62,121.43,Employed,Improved
B1292,Female,34,Roorkee,Uttarakhand,Digital Literacy,2025-05-23,4,1999,Completed,52,85,63.46,Employed,Improved
B1293,Female,20,Nainital,Uttarakhand,Digital Literacy,2024-09-16,8,1055,Completed,33,57,72.73,Unemployed,Improved
B1294,Male,22,Dehradun,Uttarakhand,Digital Literacy,2025-03-11,4,1442,Completed,25,63,152.0,Employed,Improved
B1295,Male,41,Dehradun,Uttarakhand,Digital Literacy,2024-04-03,4,2243,Completed,37,74,100.0,Unemployed,Improved
B1296,Female,38,Nainital,Uttarakhand,Skill Development,2024-03-16,8,2868,Completed,48,54,12.5,Unemployed,Not Improved
B1297,Male,20,Udham Singh Nagar,Uttarakhand,Skill Development,2025-09-19,4,2299,Completed,38,47,23.68,Unemployed,Improved
B1298,Male,43,Nainital,Uttarakhand,Digital Literacy,2025-06-30,6,1890,Completed,47,68,44.68,Unemployed,Improved
B1299,Male,20,Haridwar,Uttarakhand,Employment Readiness,2024-07-13,8,2976,Completed,65,82,26.15,Employed,Improved
B1300,Male,37,Roorkee,Uttarakhand,Digital Literacy,2025-08-31,8,4281,Completed,64,87,35.94,Unemployed,Improved
B1301,Male,40,Roorkee,Uttarakhand,Digital Literacy,2025-07-11,4,2782,Completed,69,100,44.93,Employed,Improved
B1302,Female,30,Roorkee,Uttarakhand,Employment Readiness,2024-10-27,6,4630,Completed,43,80,86.05,Unemployed,Improved
B1303,Male,24,Udham Singh Nagar,Uttarakhand,Employment Readiness,2024-07-31,6,4698,Completed,51,71,39.22,Unemployed,Improved
B1304,Male,34,Nainital,Uttarakhand,Skill Development,2024-09-01,4,4033,Incomplete,42,73,73.81,Unemployed,Improved
B1305,Female,44,Haridwar,Uttarakhand,Digital Literacy,2024-12-30,6,1247,Incomplete,65,92,41.54,Employed,Improved
B1306,Male,37,Nainital,Uttarakhand,Digital Literacy,2025-10-02,6,4488,Completed,63,100,58.73,Employed,Improved
B1307,Female,38,Roorkee,Uttarakhand,Employment Readiness,2024-09-29,4,2298,Completed,56,91,62.5,Employed,Improved
B1308,Female,44,Haridwar,Uttarakhand,Employment Readiness,2024-08-21,8,2590,Completed,23,59,156.52,Unemployed,Improved
B1309,Male,22,Nainital,Uttarakhand,Skill Development,2025-08-24,8,4023,Incomplete,45,74,64.44,Employed,Improved
B1310,Female,31,Haridwar,Uttarakhand,Employment Readiness,2025-02-14,4,2523,Completed,41,77,87.8,Unemployed,Improved
B1311,Female,24,Udham Singh Nagar,Uttarakhand,Digital Literacy,2024-05-20,6,2107,Completed,69,93,34.78,Unemployed,Improved
B1312,Male,20,Dehradun,Uttarakhand,Digital Literacy,2025-02-19,4,2893,Completed,58,90,55.17,Unemployed,Improved
B1313,Male,39,Nainital,Uttarakhand,Digital Literacy,2024-04-12,6,1161,Completed,21,36,71.43,Unemployed,Improved
B1314,Male,36,Dehradun,Uttarakhand,Skill Development,2024-10-10,4,2439,Incomplete,21,46,119.05,Unemployed,Improved
B1315,Male,41,Udham Singh Nagar,Uttarakhand,Employment Readiness,2024-10-20,6,3019,Completed,50,86,72.0,Unemployed,Improved
B1316,Female,26,Udham Singh Nagar,Uttarakhand,Skill Development,2024-12-15,6,4346,Completed,56,71,26.79,Unemployed,Improved
B1317,Female,26,Haridwar,Uttarakhand,Skill Development,2024-02-03,6,2233,Completed,61,90,47.54,Unemployed,Improved
B1318,Male,42,Udham Singh Nagar,Uttarakhand,Skill Development,2025-07-31,4,3109,Completed,62,98,58.06,Employed,Improved
B1319,Female,36,Dehradun,Uttarakhand,Digital Literacy,2025-10-06,8,1754,Incomplete,39,56,43.59,Unemployed,Improved
B1320,Female,41,Haridwar,Uttarakhand,Employment Readiness,2025-08-23,6,4201,Completed,34,65,91.18,Unemployed,Improved
B1321,Female,33,Dehradun,Uttarakhand,Employment Readiness,2024-06-08,6,3345,Completed,57,73,28.07,Unemployed,Improved
B1322,Female,30,Haridwar,Uttarakhand,Employment Readiness,2024-05-19,8,2952,Completed,65,100,53.85,Unemployed,Improved
B1323,Male,30,Dehradun,Uttarakhand,Skill Development,2025-03-13,6,3998,Completed,51,59,15.69,Employed,Not Improved
B1324,Male,27,Nainital,Uttarakhand,Skill Development,2025-05-19,4,3060,Incomplete,45,54,20.0,Employed,Improved
B1325,Male,27,Roorkee,Uttarakhand,Employment Readiness,2024-09-03,8,3525,Completed,67,100,49.25,Employed,Improved
B1326,Male,36,Haridwar,Uttarakhand,Employment Readiness,2024-06-29,4,1584,Completed,26,65,150.0,Employed,Improved
B1327,Male,34,Nainital,Uttarakhand,Employment Readiness,2025-03-14,6,2484,Completed,45,62,37.78,Unemployed,Improved
B1328,Female,39,Roorkee,Uttarakhand,Skill Development,2025-02-28,6,3410,Completed,65,99,52.31,Unemployed,Improved
B1329,Female,45,Roorkee,Uttarakhand,Employment Readiness,2024-08-27,8,1452,Completed,51,87,70.59,Unemployed,Improved
B1330,Female,31,Roorkee,Uttarakhand,Digital Literacy,2025-10-16,6,3732,Completed,56,80,42.86,Employed,Improved
B1331,Male,41,Dehradun,Uttarakhand,Employment Readiness,2025-12-19,4,1170,Completed,65,88,35.38,Unemployed,Improved
B1332,Female,32,Dehradun,Uttarakhand,Digital Literacy,2025-06-29,6,1004,Completed,51,61,19.61,Employed,Not Improved
B1333,Male,31,Udham Singh Nagar,Uttarakhand,Digital Literacy,2024-12-19,4,1522,Completed,59,65,10.17,Unemployed,Not Improved
B1334,Male,18,Roorkee,Uttarakhand,Skill Development,2025-11-04,8,1885,Completed,64,92,43.75,Employed,Improved
B1335,Female,19,Nainital,Uttarakhand,Digital Literacy,2024-10-02,4,1258,Completed,58,94,62.07,Unemployed,Improved
B1336,Female,28,Dehradun,Uttarakhand,Skill Development,2024-03-20,8,2363,Completed,34,65,91.18,Unemployed,Improved
B1337,Male,20,Dehradun,Uttarakhand,Skill Development,2025-12-11,4,4379,Completed,32,61,90.62,Employed,Improved
B1338,Female,25,Roorkee,Uttarakhand,Digital Literacy,2024-11-23,8,2842,Completed,30,45,50.0,Unemployed,Improved
B1339,Male,24,Udham Singh Nagar,Uttarakhand,Employment Readiness,2024-06-08,6,1687,Completed,57,63,10.53,Employed,Not Improved
B1340,Male,22,Roorkee,Uttarakhand,Employment Readiness,2024-10-02,6,4698,Completed,22,45,104.55,Unemployed,Improved
B1341,Female,45,Roorkee,Uttarakhand,Skill Development,2025-05-25,8,4134,Incomplete,30,48,60.0,Unemployed,Improved
B1342,Female,32,Roorkee,Uttarakhand,Digital Literacy,2025-11-08,8,4888,Completed,51,85,66.67,Employed,Improved
B1343,Male,37,Dehradun,Uttarakhand,Skill Development,2024-07-22,4,2129,Completed,27,35,29.63,Unemployed,Improved
B1344,Male,43,Udham Singh Nagar,Uttarakhand,Skill Development,2025-10-19,8,4019,Completed,62,79,27.42,Unemployed,Improved
B1345,Male,25,Nainital,Uttarakhand,Skill Development,2025-08-11,6,2287,Completed,32,50,56.25,Unemployed,Improved
B1346,Male,19,Dehradun,Uttarakhand,Skill Development,2024-03-23,8,3234,Incomplete,59,74,25.42,Unemployed,Improved
B1347,Male,18,Haridwar,Uttarakhand,Skill Development,2025-09-30,8,2178,Completed,57,84,47.37,Unemployed,Improved
B1348,Male,40,Haridwar,Uttarakhand,Skill Development,2024-06-11,6,4489,Completed,57,83,45.61,Employed,Improved
B1349,Male,40,Dehradun,Uttarakhand,Skill Development,2024-08-28,8,3134,Completed,61,98,60.66,Employed,Improved
B1350,Female,43,Nainital,Uttarakhand,Digital Literacy,2024-11-04,6,1761,Completed,63,78,23.81,Employed,Improved
B1351,Female,24,Roorkee,Uttarakhand,Digital Literacy,2024-11-24,4,3695,Completed,62,75,20.97,Unemployed,Improved
B1352,Male,36,Haridwar,Uttarakhand,Skill Development,2025-12-25,8,2051,Completed,70,100,42.86,Unemployed,Improved
B1353,Male,45,Nainital,Uttarakhand,Digital Literacy,2025-11-24,6,1760,Completed,22,27,22.73,Unemployed,Improved
B1354,Female,25,Nainital,Uttarakhand,Skill Development,2025-10-02,6,4873,Completed,58,63,8.62,Unemployed,Not Improved
B1355,Male,25,Nainital,Uttarakhand,Employment Readiness,2025-05-27,4,4405,Completed,70,78,11.43,Employed,Not Improved
B1356,Male,39,Udham Singh Nagar,Uttarakhand,Employment Readiness,2025-11-04,4,1105,Completed,25,41,64.0,Unemployed,Improved
B1357,Female,27,Udham Singh Nagar,Uttarakhand,Skill Development,2024-02-14,8,1419,Completed,64,78,21.88,Employed,Improved
B1358,Female,42,Udham Singh Nagar,Uttarakhand,Digital Literacy,2025-12-09,8,3643,Completed,28,65,132.14,Unemployed,Improved
B1359,Male,20,Nainital,Uttarakhand,Skill Development,2025-01-14,6,3825,Completed,40,54,35.0,Unemployed,Improved
B1360,Female,43,Dehradun,Uttarakhand,Employment Readiness,2025-08-29,4,3388,Completed,58,78,34.48,Unemployed,Improved
B1361,Male,43,Nainital,Uttarakhand,Skill Development,2024-06-08,4,4885,Completed,39,58,48.72,Unemployed,Improved
B1362,Male,31,Roorkee,Uttarakhand,Employment Readiness,2025-05-05,8,4911,Completed,24,58,141.67,Unemployed,Improved
B1363,Female,32,Nainital,Uttarakhand,Digital Literacy,2024-10-18,4,3984,Completed,69,76,10.14,Unemployed,Not Improved
B1364,Male,35,Roorkee,Uttarakhand,Skill Development,2024-03-29,4,4493,Completed,38,44,15.79,Unemployed,Not Improved
B1365,Male,34,Roorkee,Uttarakhand,Digital Literacy,2025-09-29,6,2018,Completed,24,34,41.67,Employed,Improved
B1366,Female,34,Roorkee,Uttarakhand,Employment Readiness,2025-03-16,8,2499,Completed,45,60,33.33,Unemployed,Improved
B1367,Female,33,Dehradun,Uttarakhand,Digital Literacy,2025-08-21,6,3413,Completed,32,68,112.5,Unemployed,Improved
B1368,Female,23,Udham Singh Nagar,Uttarakhand,Digital Literacy,2025-08-21,8,2386,Completed,31,49,58.06,Employed,Improved
B1369,Female,21,Nainital,Uttarakhand,Skill Development,2025-03-27,6,1779,Completed,68,84,23.53,Unemployed,Improved
B1370,Male,26,Haridwar,Uttarakhand,Digital Literacy,2025-03-28,6,3775,Completed,63,96,52.38,Unemployed,Improved
B1371,Male,26,Roorkee,Uttarakhand,Employment Readiness,2025-02-22,6,2001,Incomplete,66,92,39.39,Employed,Improved
B1372,Female,33,Roorkee,Uttarakhand,Employment Readiness,2024-02-23,8,1620,Completed,49,56,14.29,Employed,Not Improved
B1373,Male,44,Dehradun,Uttarakhand,Skill Development,2025-01-24,4,4115,Completed,68,74,8.82,Employed,Not Improved
B1374,Female,22,Nainital,Uttarakhand,Digital Literacy,2024-01-06,8,4078,Completed,64,79,23.44,Unemployed,Improved
B1375,Female,19,Nainital,Uttarakhand,Digital Literacy,2025-07-15,4,4580,Incomplete,36,42,16.67,Employed,Not Improved
B1376,Male,19,Dehradun,Uttarakhand,Skill Development,2024-11-03,6,2690,Completed,40,67,67.5,Employed,Improved
B1377,Female,31,Roorkee,Uttarakhand,Skill Development,2025-12-19,8,3855,Incomplete,42,52,23.81,Unemployed,Improved
B1378,Female,32,Roorkee,Uttarakhand,Digital Literacy,2024-04-18,8,4014,Completed,53,71,33.96,Unemployed,Improved
B1379,Male,33,Udham Singh Nagar,Uttarakhand,Digital Literacy,2024-08-13,8,2647,Completed,34,69,102.94,Unemployed,Improved
B1380,Female,26,Nainital,Uttarakhand,Employment Readiness,2025-07-11,4,1382,Incomplete,32,67,109.38,Unemployed,Improved
B1381,Male,42,Haridwar,Uttarakhand,Digital Literacy,2024-04-07,6,3771,Completed,42,76,80.95,Employed,Improved
B1382,Male,40,Udham Singh Nagar,Uttarakhand,Employment Readiness,2024-03-02,6,4593,Incomplete,66,100,51.52,Employed,Improved
B1383,Male,38,Udham Singh Nagar,Uttarakhand,Digital Literacy,2024-09-28,6,3094,Completed,23,33,43.48,Employed,Improved
B1384,Female,21,Dehradun,Uttarakhand,Skill Development,2025-06-07,6,1546,Completed,46,57,23.91,Unemployed,Improved
B1385,Male,18,Haridwar,Uttarakhand,Digital Literacy,2024-01-10,6,2969,Completed,47,87,85.11,Unemployed,Improved
B1386,Female,40,Nainital,Uttarakhand,Skill Development,2025-03-07,8,1635,Completed,27,57,111.11,Unemployed,Improved
B1387,Female,20,Dehradun,Uttarakhand,Skill Development,2025-12-20,6,3036,Completed,23,31,34.78,Employed,Improved
B1388,Female,35,Haridwar,Uttarakhand,Skill Development,2025-04-26,8,4029,Incomplete,34,56,64.71,Unemployed,Improved
B1389,Male,20,Udham Singh Nagar,Uttarakhand,Digital Literacy,2025-07-04,6,3750,Completed,65,83,27.69,Employed,Improved
B1390,Male,36,Roorkee,Uttarakhand,Skill Development,2025-01-25,4,1171,Completed,65,88,35.38,Unemployed,Improved
B1391,Male,45,Haridwar,Uttarakhand,Employment Readiness,2025-05-11,4,3884,Completed,37,45,21.62,Unemployed,Improved
B1392,Male,24,Udham Singh Nagar,Uttarakhand,Skill Development,2025-02-28,8,2496,Incomplete,52,82,57.69,Unemployed,Improved
B1393,Male,30,Dehradun,Uttarakhand,Skill Development,2024-09-08,6,4090,Incomplete,22,58,163.64,Employed,Improved
B1394,Male,28,Haridwar,Uttarakhand,Skill Development,2024-11-20,6,3231,Completed,20,37,85.0,Unemployed,Improved
B1395,Female,20,Udham Singh Nagar,Uttarakhand,Employment Readiness,2024-05-14,6,1282,Completed,35,46,31.43,Employed,Improved
B1396,Male,24,Roorkee,Uttarakhand,Digital Literacy,2024-07-29,8,2668,Completed,27,48,77.78,Unemployed,Improved
B1397,Female,33,Nainital,Uttarakhand,Employment Readiness,2025-02-25,8,1931,Completed,49,57,16.33,Unemployed,Not Improved
B1398,Male,39,Nainital,Uttarakhand,Digital Literacy,2024-12-26,4,3912,Completed,24,54,125.0,Employed,Improved
B1399,Female,18,Roorkee,Uttarakhand,Employment Readiness,2024-06-17,6,2921,Completed,36,72,100.0,Unemployed,Improved
B1400,Female,35,Dehradun,Uttarakhand,Employment Readiness,2025-12-02,6,3795,Completed,32,63,96.88,Employed,Improved
B1401,Female,34,Dehradun,Uttarakhand,Digital Literacy,2024-12-05,6,2810,Completed,63,86,36.51,Employed,Improved
B1402,Male,40,Roorkee,Uttarakhand,Skill Development,2024-12-07,6,2382,Completed,70,100,42.86,Unemployed,Improved
B1403,Male,44,Haridwar,Uttarakhand,Digital Literacy,2024-06-08,8,4102,Completed,27,46,70.37,Unemployed,Improved
B1404,Female,28,Roorkee,Uttarakhand,Digital Literacy,2025-04-18,4,4772,Completed,44,81,84.09,Employed,Improved
B1405,Male,40,Roorkee,Uttarakhand,Employment Readiness,2025-08-17,8,3734,Completed,24,39,62.5,Unemployed,Improved
B1406,Male,38,Haridwar,Uttarakhand,Skill Development,2024-01-03,4,2450,Completed,63,86,36.51,Employed,Improved
B1407,Male,30,Roorkee,Uttarakhand,Digital Literacy,2024-01-22,4,3380,Incomplete,33,60,81.82,Unemployed,Improved
B1408,Female,44,Udham Singh Nagar,Uttarakhand,Skill Development,2024-09-17,8,4773,Completed,38,53,39.47,Employed,Improved
B1409,Male,29,Dehradun,Uttarakhand,Employment Readiness,2025-03-02,8,4735,Completed,41,79,92.68,Unemployed,Improved
B1410,Female,44,Udham Singh Nagar,Uttarakhand,Skill Development,2024-05-29,6,4680,Completed,43,51,18.6,Employed,Not Improved
B1411,Female,19,Udham Singh Nagar,Uttarakhand,Skill Development,2025-09-06,6,2244,Completed,63,99,57.14,Employed,Improved
B1412,Male,22,Roorkee,Uttarakhand,Digital Literacy,2024-08-29,4,1834,Incomplete,62,73,17.74,Employed,Not Improved
B1413,Male,24,Dehradun,Uttarakhand,Skill Development,2024-05-09,6,1090,Completed,52,68,30.77,Employed,Improved
B1414,Female,35,Roorkee,Uttarakhand,Skill Development,2024-06-19,4,1950,Completed,24,42,75.0,Unemployed,Improved
B1415,Male,20,Haridwar,Uttarakhand,Skill Development,2025-05-24,6,4396,Completed,42,52,23.81,Employed,Improved
B1416,Male,32,Haridwar,Uttarakhand,Digital Literacy,2024-01-17,6,4532,Completed,36,74,105.56,Unemployed,Improved
B1417,Male,30,Roorkee,Uttarakhand,Employment Readiness,2025-07-16,8,4018,Completed,37,47,27.03,Unemployed,Improved
B1418,Male,22,Nainital,Uttarakhand,Employment Readiness,2024-06-24,8,4642,Completed,54,74,37.04,Unemployed,Improved
B1419,Male,29,Haridwar,Uttarakhand,Employment Readiness,2025-12-23,6,3330,Completed,60,91,51.67,Employed,Improved
B1420,Female,35,Udham Singh Nagar,Uttarakhand,Digital Literacy,2025-02-23,4,3180,Completed,40,80,100.0,Employed,Improved
B1421,Male,18,Udham Singh Nagar,Uttarakhand,Skill Development,2024-02-29,6,2340,Completed,32,37,15.62,Employed,Not Improved
B1422,Male,44,Dehradun,Uttarakhand,Skill Development,2024-06-04,8,2660,Completed,24,29,20.83,Unemployed,Improved
B1423,Female,37,Nainital,Uttarakhand,Employment Readiness,2024-03-08,8,2861,Completed,43,78,81.4,Employed,Improved
B1424,Female,44,Udham Singh Nagar,Uttarakhand,Skill Development,2024-03-03,8,1990,Completed,61,68,11.48,Employed,Not Improved
B1425,Female,32,Nainital,Uttarakhand,Employment Readiness,2025-06-03,8,3680,Completed,46,77,67.39,Employed,Improved
B1426,Female,23,Udham Singh Nagar,Uttarakhand,Digital Literacy,2024-06-01,6,3075,Completed,55,60,9.09,Employed,Not Improved
